chapter,index,word,definition
5,121,deficiency,"n.부족,결핍,부족분,결손,적자"
5,122,increment,"n.증가,증대,증가량,증액"
5,123,fertile,"a.(토지가)기름진,비옥한,다산의"
5,124,abundant,"a.풍부한,많은;(자원등이)풍족한"
5,125,redundant,"a.여분의,과다한,풍부한,남아도는"
6,126,ostentatious
6,127,fallacious,"a.그릇된,허위의,논리적오류가있는"
6,128,gullible,"a.잘속는,속기쉬운"
6,129,oblivious,a.(무엇에몰두하여)알아채지못하는
6,130,notorious,"a.(나쁜의미로)유명한,악명높은"
6,131,repel
6,132,dismiss,"vt.해고[면직]하다,내쫒다,(생각등을깨끗이)지우다,잊어버리다"
6,133,charge
6,134,reluctant,"a.마음내키지않는,마지못해하는"
6,135,abuse,"vt.모욕하다,욕하다,~을 악용하다,남용하다;확대하다,(건강등)해치다.n.악용,남용"
6,136,restricted
6,137,suppress,"vt.(폭동등을)억압[진압]하다,[책등을]발매금지하다"
6,138,compulsory
6,139,obligatory,"a.의무로서 지워지는,의무적인,(학과따위가)필수의"
6,140,apprehend
6,141,attribute,"n.속성,특질;vt.원인을~에돌리다,~의탓으로하다"
6,142,immune,"a.(전염병등의)면역성의(from),(과세등으로부터)면제된"
6,143,relinquish,"vt.(계획습관등을)그만두다,버리다,(소유물,권리등을)포기하다,양도하다"
6,144,extinct,"a.(생물제도등이)멸종된,소멸된"
6,145,inactive,"a.활동하지않는,움직이지않는,휴지의"
6,146,improvise
6,147,specific,"a.(목적.설명등)명확한,구체적인,특정한"
6,148,compose
6,149,settle,"v.(움직이지않도록)놓다,설치하다,(사람을)정주시키다,살게하다,해결하다"
6,150,sedentary
7,151,exceed,"vt.(한도를)넘다,초과하다"
7,152,eligible,"a.적격의,적임의;바람직한,적합한;n.적임자,적격자,유자격자"
7,153,conspicuous,"a.두드러진,뛰어난,눈에잘뛰는,저명한,현저한"
7,154,mundane,"a.현세의,세속적인"
7,155,affable,"a.사귀기쉬운;상냥한,부드러운"
7,156,implement,"vt.(약속계약계획등을)이행[실행]하다;n.도구,용구,기구"
7,157,bolster,"vt.보강하다,지지하다;n.덧배게,기계따위의완충용받이,받침대"
7,158,concern
7,159,defer
7,160,confirm
7,161,gratify
7,162,flatter,"v.아첨하다,알랑거리다,추켜세우다"
7,163,audacious,"a.대담한,겁이없는"
7,164,chronological
7,165,plight,"n.곤경,궁지(어려운)상태"
7,166,disseminate,vt.(씨를)흩뿌리다;(주장의견을)퍼뜨리다
7,167,yield
7,168,proliferate
7,169,prevalent,"a.일반적으로 행하여지는,유행하는"
7,170,affluent,"a.풍부한,유복한"
7,171,wane,"vi.적어지다,약해지다,쇠약해지다"
7,172,impair,"vt.(가치,힘,건강등을)약화시키다,해치다"
7,173,languid,"a.나른한,축늘어진,활기가없는"
7,174,frugal,"a.절약하는,간소한,소박한;검소한"
7,175,austere,"a.꾸미지않은,검소한,엄한,엄격한,엄숙한,간결한,금욕적인"
8,176,annoy
8,177,outrage
8,178,furious,"a.성내어 날뛰는,격노한"
8,179,mitigate
8,180,placate,"vt.(사람을)달래다,위로하다,진정시키다"
8,181,defiant,"a.반항적인,도전적인,시비조의"
8,182,subversive
8,183,reverse,"n.역,반대,뒤,배후,불운,실패,후진"
8,184,catastrophe,"n.큰재해,대참사"
8,185,controversial
8,186,avert,"vt.(위험 타격등을)피하다,막다;(눈.생각등을)돌리다,비키다"
8,187,elude,"vt.교묘히 피하다~을 면하다;회피하다,생각나지않다"
8,188,prevent
8,189,hamper,"vt.방해하다,훼방놓다,제한[구속]하다"
8,190,curb
8,191,conservative
8,192,conventional,"a.관습적인,인습에사로잡힌,전통적인,틀에박힌,형식적인,상투적인"
8,193,immutable
8,194,unanimous,a.만장[전원]일치의
8,195,acquiesce,"vi.잠자코따르다,묵인하다"
8,196,perpetual
8,197,fragile,"a.부서지기쉬운,무른,허약한,연약한,덧없는"
8,198,indelible,"a.지울수없는,잊혀지지않는"
8,199,mobile
8,200,collaborate,"vt.공동으로일하다,합작하다,제휴하다,(점령군.적국에)협력하다,부역하다"
9,201,emulate,"vt.~을흉내내다,모방하다"
9,202,analogous,"a.유사한,닮은,비슷한"
9,203,identical
9,204,prone
9,205,infer,"vt.추론하다,추단하다,추측하다"
9,206,commitment
9,207,contribute,"v.(돈등을)기부하다,주다,기여하다,공헌하다"
9,208,competent,"a.유능한,능력(자격)이있는,요구를충족시키는,충분한"
9,209,passionate
9,210,esteem
9,211,trivial,"a.하찮은,사소한"
9,212,viable,"a.(계획등이)실행가능한,실용적인"
9,213,devastate,"vt.유린하다,황폐시키다,압도하다"
9,214,contempt,"n.경멸,멸시,모욕"
9,215,deceptive,"a.속이는,현혹시키는,믿을수 없는"
9,216,concentrate,"vt(정신등을)집중하다,(물건등을)모으다,집중시키다,군대를집결시키다"
9,217,dexterity
9,218,impromptu,"a.즉석에서의,즉흥적인,임시변통의"
9,219,spontaneous,"a.자연히일어나는,무의식적인,충동적인,자발적인,임의의"
9,220,cautious
9,221,wary
9,222,sensible
9,223,sensitive,"a.감수성이 예민한,섬세한,민감한"
9,224,prudent,"a.조심성있는,신중한,사려깊은,분별있는"
9,225,intent,"n.의도,의향,목적,계획,의미,취지,;a.집중된,열심인"
10,226,scanty
10,227,parsimony,"n.지나친,절약,인색"
10,228,pervasive,"a.널리 퍼지는,보급력있는"
10,229,flourish,"vi(장사.사업등이)번창하다,융성하다"
10,230,prolific,"a.다산의,열매를 많이맺는,비옥한"
10,231,legitimate,"a.합법적인,적법의,정당한"
10,232,adapt,"vt.~을적응시키다,적합하게하다,개작(각색,번안)하다;vi.적응하다,순응하다"
10,233,adept,"n.숙련자,노련가"
10,234,adequate
10,235,equivalent,"a.동등한,같은가치의,같은뜻의;n.등가물,상당어구,동의어"
10,236,capacity,"n.(심신의)능력,정신능력,포용력,수용력,도량,(건물따위의)수용인원,정원,용량"
10,237,invaluable,"a.값을 헤아릴수 없는,매우귀중한"
10,238,valid
10,239,appreciate,"vt.사물을바르게평가하다,가치를인정하다"
10,240,inspiration,"n.자극,고취,고무,격려"
10,241,fledgling
10,242,rudimentary,"a.원리의,기본의,기초의"
10,243,volatile
